index,mid,display_name
0,/g/11b630rrvh,Kettle whistle
1,/g/122z_qxw,Firecracker
2,/m/011k_j,Timpani
3,/m/01280g,Wild animals
4,/m/012f08,Motor vehicle (road)
5,/m/012n7d,Ambulance (siren)
6,/m/012ndj,"Fire engine, fire truck (siren)"
7,/m/012xff,Toothbrush
8,/m/0130jx,Sink (filling or washing)
9,/m/013y1f,Organ
10,/m/0140xf,Christmas music
11,/m/0145m,Afrobeat
12,/m/014yck,Aircraft engine
13,/m/014zdl,Explosion
14,/m/0150b9,Change ringing (campanology)
15,/m/0155w,Blues
16,/m/015jpf,Dial tone
17,/m/015lz1,Singing
18,/m/015p6,Bird
19,/m/015vgc,Carnatic music
20,/m/015y_n,Swing music
21,/m/0160x5,Digestive
22,/m/0164x2,Music of Africa
23,/m/016622,Tubular bells
24,/m/016cjb,Gospel music
25,/m/0174nj,Gramophone record
26,/m/017gp,Bass (frequency range)
27,/m/018j2,Banjo
28,/m/018vs,Bass guitar
29,/m/018w8,Basketball bounce
30,/m/0190y4,Dub
31,/m/0192l,Bagpipes
32,/m/0193bn,Sonic boom
33,/m/0195fx,"Subway, metro, underground"
34,/m/0199g,Bicycle
35,/m/019jd,"Boat, Water vehicle"
36,/m/01b7fy,Headphones
37,/m/01b82r,Sawing
38,/m/01b9nn,Reverberation
39,/m/01b_21,Cough
40,/m/01bjv,Bus
41,/m/01bns_,Zither
42,/m/01c194,Mantra
43,/m/01c3q,Bassoon
44,/m/01d380,Drill
45,/m/01d3sd,Snoring
46,/m/01dwxx,"Gull, seagull"
47,/m/01f9gb,Oldschool jungle
48,/m/01fhw5,Infrasound
49,/m/01g50p,"Railroad car, train wagon"
50,/m/01g90h,Stomach rumble
51,/m/01glhc,Tapping (guitar technique)
52,/m/01gp74,Chord
53,/m/01h3n,"Bee, wasp, etc."
54,/m/01h82_,Engine knocking
55,/m/01h8n0,Conversation
56,/m/01hgjl,Scratching (performance technique)
57,/m/01hhp3,Yak
58,/m/01hnzm,Ringtone
59,/m/01hsr_,Sneeze
60,/m/01j3sz,Laughter
61,/m/01j423,Yawn
62,/m/01j4z9,Chainsaw
63,/m/01jg02,"Heart sounds, heartbeat"
64,/m/01jg1z,Heart murmur
65,/m/01jnbd,Echo
66,/m/01jt3m,Toilet flush
67,/m/01jwx6,Vibration
68,/m/01kcd,Brass instrument
69,/m/01lsmm,Scissors
70,/m/01lyv,Country
71,/m/01m2v,Computer keyboard
72,/m/01m4t,Printer
73,/m/01p970,Tabla
74,/m/01qbl,Cymbal
75,/m/01rd7k,Turkey
76,/m/01s0ps,Electric piano
77,/m/01s0vc,Zipper (clothing)
78,/m/01sb50,"Cellphone buzz, vibrating alert"
79,/m/01sm1g,Wood block
80,/m/01swy6,Yodeling
81,/m/01v1d8,Sampler
82,/m/01v_m0,Sine wave
83,/m/01vfsf,Guitar amplifier
84,/m/01vj9c,Bass (instrument role)
85,/m/01w250,Whistling
86,/m/01www,Compact disc
87,/m/01wy6,Clarinet
88,/m/01x3z,Clock
89,/m/01xq0k1,"Cattle, bovinae"
90,/m/01xqw,Cello
91,/m/01y3hg,"Smoke detector, smoke alarm"
92,/m/01yg9g,Lawn mower
93,/m/01yrx,Cat
94,/m/01z47d,Busy signal
95,/m/01z5f,"Canidae, dogs, wolves"
96,/m/01z7dr,Video game music
97,/m/02021,Chipmunk
98,/m/020bb7,"Bird vocalization, bird call, bird song"
99,/m/020w2,Cornet
100,/m/021wwz,Bassline
101,/m/022c7z,Beat
102,/m/022dgg,Kwaito
103,/m/0239kh,Cowbell
104,/m/023pjk,"Cutlery, silverware"
105,/m/023vsd,Sanding
106,/m/0242l,Coin (dropping)
107,/m/024dl,Cash register
108,/m/025_jnm,Finger snapping
109,/m/025cbm,Clavinet
110,/m/025l19,Recording
111,/m/025rv6n,Fowl
112,/m/025td0t,Background music
113,/m/025wky1,Air conditioning
114,/m/0261r1,Babbling
115,/m/026fgl,Wind chime
116,/m/026t6,Drum
117,/m/026z9,Disco
118,/m/027m70_,Jingle bell
119,/m/0283d,Drum and bass
120,/m/0284vy3,Train horn
121,/m/028ght,Applause
122,/m/028sqc,Music of Asia
123,/m/028v0c,Silence
124,/m/029h7y,Electro
125,/m/02_41,Fire
126,/m/02_nn,Fart
127,/m/02bk07,Chant
128,/m/02bm9n,"Ratchet, pawl"
129,/m/02bxd,Didgeridoo
130,/m/02c8p,"Telephone dialing, DTMF"
131,/m/02ccj9,Cumbia
132,/m/02cjck,Theme music
133,/m/02cz_7,Beatboxing
134,/m/02dgv,Door
135,/m/02fs_r,"Beep, bleep"
136,/m/02fsn,Double bass
137,/m/02fxyj,Humming
138,/m/02g901,"Electric shaver, electric razor"
139,/m/02hnl,Drum kit
140,/m/02jz0l,"Water tap, faucet"
141,/m/02k_mr,Drum roll
142,/m/02l6bg,"Propeller, airscrew"
143,/m/02lkt,Electronic music
144,/m/02mfyn,Car alarm
145,/m/02mk9,Engine
146,/m/02mscn,Christian music
147,/m/02p01q,Filing (rasp)
148,/m/02p0sh1,Traditional music
149,/m/02p3nc,Hiccup
150,/m/02pjr4,Blender
151,/m/02pprs,Alto saxophone
152,/m/02qldy,"Narration, monologue"
153,/m/02qmj0d,String section
154,/m/02rhddq,Reversing beeps
155,/m/02rlv9,"Motorboat, speedboat"
156,/m/02rr_,Effects unit
157,/m/02rtxlg,Whispering
158,/m/02sgy,Electric guitar
159,/m/02v2lh,New-age music
160,/m/02w4v,Folk music
161,/m/02x8m,Funk
162,/m/02x984l,Mechanical fan
163,/m/02y_763,Sliding door
164,/m/02yds9,Purr
165,/m/02z32qm,Fusillade
166,/m/02zsn,"Female speech, woman speaking"
167,/m/030rvx,Buzzer
168,/m/0316dw,Typing
169,/m/0319l,French horn
170,/m/0326g,Flamenco
171,/m/032n05,Whale vocalization
172,/m/032s66,"Gunshot, gunfire"
173,/m/0342h,Guitar
174,/m/034srq,"Waves, surf"
175,/m/0395lw,Bell
176,/m/039jq,Glass
177,/m/03_d0,Jazz
178,/m/03cczk,"Chewing, mastication"
179,/m/03cl9h,"Ice cream truck, ice cream van"
180,/m/03dnzn,Bathtub (filling or washing)
181,/m/03fwl,Goat
182,/m/03gvt,Hammond organ
183,/m/03j1ly,Emergency vehicle
184,/m/03k3r,Horse
185,/m/03kmc9,Siren
186,/m/03l9g,Hammer
187,/m/03lty,Heavy metal
188,/m/03m5k,Harp
189,/m/03m9d0z,Wind
190,/m/03mb9,House music
191,/m/03p19w,Jackhammer
192,/m/03q5_w,"Burping, eructation"
193,/m/03q5t,Harpsichord
194,/m/03qc9zr,Screaming
195,/m/03qjg,Harmonica
196,/m/03qtq,Hi-hat
197,/m/03qtwd,Crowd
198,/m/03r5q_,Jingle (music)
199,/m/03t22m,Soprano saxophone
200,/m/03t3fj,Rimshot
201,/m/03v3yw,Keys jangling
202,/m/03vt0,Insect
203,/m/03w41f,Church bell
204,/m/03w6d1,Drone
205,/m/03wvsk,Hair dryer
206,/m/03wwcy,Doorbell
207,/m/03xq_f,Electronic organ
208,/m/04179zz,Duck call (hunting tool)
209,/m/04229,Jet engine
210,/m/042v_gx,Acoustic guitar
211,/m/0463cq4,"Crying, sobbing"
212,/m/046dlr,Alarm clock
213,/m/04_sv,Motorcycle
214,/m/04brg2,"Dishes, pots, and pans"
215,/m/04cvmfc,Roar
216,/m/04fgwm,Electric toothbrush
217,/m/04fq5q,Foghorn
218,/m/04gxbd,"Power windows, electric windows"
219,/m/04gy_2,Battle cry
220,/m/04j_h4,Grime music
221,/m/04k94,Liquid
222,/m/04qvtq,Police car (siren)
223,/m/04rlf,Music
224,/m/04rmv,Mouse
225,/m/04rzd,Mandolin
226,/m/04s8yn,Crow
227,/m/04szw,Musical instrument
228,/m/04v5dt,Booing
229,/m/04wptg,Wedding music
230,/m/04xp5v,Otoacoustic emission
231,/m/04zc0,MP3
232,/m/04zjc,Machine gun
233,/m/04zmvq,Train whistle
234,/m/05148p4,Keyboard (musical)
235,/m/05229,Musical ensemble
236,/m/052smk,Drone music
237,/m/053hz1,Cheering
238,/m/056ks2,"Rowboat, canoe, kayak"
239,/m/059j3w,Natural sounds
240,/m/05_wcq,"Bird flight, flapping wings"
241,/m/05fw6t,Music for children
242,/m/05jcn,Musical note
243,/m/05kms,Oboe
244,/m/05kq4,Ocean
245,/m/05lls,Opera
246,/m/05mxj0q,"Packing tape, duct tape"
247,/m/05n1m,Onomatopoeia
248,/m/05pd6,Orchestra
249,/m/05q7ms,Funk carioca
250,/m/05r5c,Piano
251,/m/05r5wn,Rattle (instrument)
252,/m/05r6t,Punk rock
253,/m/05rj2,Shuffling cards
254,/m/05rwpb,Independent music
255,/m/05szwhw,Ringing (of resonator)
256,/m/05tny_,Bark
257,/m/05w3f,Psychedelic rock
258,/m/05x_td,"Air horn, truck horn"
259,/m/05xp3j,Drum beat
260,/m/05zc1,Pulleys
261,/m/05zppz,"Male speech, man speaking"
262,/m/0642b4,Cupboard open or close
263,/m/064t9,Pop music
264,/m/068hy,"Domestic animals, pets"
265,/m/068zj,Pig
266,/m/06_fw,Skateboard
267,/m/06_y0by,Environmental noise
268,/m/06bxc,Rapping
269,/m/06by7,Rock music
270,/m/06bz3,Radio
271,/m/06cqb,Reggae
272,/m/06d_3,Rail transport
273,/m/06h7j,Run
274,/m/06hck5,Steam whistle
